seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,29.0,71.0,0.29,0.71,0.73,2.45,3.45,0.66,1.0,100.0,0.0,1.0,0.0
43,100.0,29.0,71.0,0.29,0.71,0.74,2.37,3.37,0.57,1.0,100.0,0.0,1.0,0.0
44,100.0,32.0,68.0,0.32,0.68,0.65,2.52,3.52,0.77,1.0,100.0,0.0,1.0,0.0
45,100.0,33.0,67.0,0.33,0.67,0.68,2.44,3.44,0.66,1.0,100.0,0.0,1.0,0.0
46,100.0,32.0,68.0,0.32,0.68,0.77,2.49,3.49,0.71,1.0,100.0,0.0,1.0,0.0
47,100.0,26.0,74.0,0.26,0.74,0.67,2.4,3.4,0.56,1.0,100.0,0.0,1.0,0.0
48,100.0,27.0,73.0,0.27,0.73,0.74,2.44,3.44,0.69,1.0,100.0,0.0,1.0,0.0
49,100.0,22.0,78.0,0.22,0.78,0.7,2.4,3.4,0.59,1.0,100.0,0.0,1.0,0.0
50,100.0,25.0,75.0,0.25,0.75,0.74,2.46,3.46,0.68,1.0,100.0,0.0,1.0,0.0
51,100.0,28.0,72.0,0.28,0.72,0.69,2.51,3.51,0.72,1.0,100.0,0.0,1.0,0.0
52,100.0,28.0,72.0,0.28,0.72,0.77,2.45,3.45,0.7,1.0,100.0,0.0,1.0,0.0
53,100.0,29.0,71.0,0.29,0.71,0.65,2.43,3.43,0.65,1.0,100.0,0.0,1.0,0.0
54,100.0,25.0,75.0,0.25,0.75,0.7,2.53,3.53,0.75,1.0,100.0,0.0,1.0,0.0
55,100.0,36.0,64.0,0.36,0.64,0.69,2.46,3.46,0.66,1.0,100.0,0.0,1.0,0.0
56,100.0,22.0,78.0,0.22,0.78,0.68,2.49,3.49,0.78,1.0,100.0,0.0,1.0,0.0
57,100.0,37.0,63.0,0.37,0.63,0.7,2.49,3.49,0.74,1.0,100.0,0.0,1.0,0.0
58,100.0,39.0,61.0,0.39,0.61,0.66,2.49,3.49,0.79,1.0,100.0,0.0,1.0,0.0
59,100.0,31.0,69.0,0.31,0.69,0.74,2.49,3.49,0.67,1.0,100.0,0.0,1.0,0.0
60,100.0,35.0,65.0,0.35,0.65,0.73,2.47,3.47,0.76,1.0,100.0,0.0,1.0,0.0
61,100.0,25.0,75.0,0.25,0.75,0.61,2.46,3.46,0.67,1.0,100.0,0.0,1.0,0.0
62,100.0,23.0,77.0,0.23,0.77,0.67,2.46,3.46,0.66,1.0,100.0,0.0,1.0,0.0
63,100.0,29.0,71.0,0.29,0.71,0.71,2.46,3.46,0.66,1.0,100.0,0.0,1.0,0.0
